user_id,item_id,strength,interaction_count,first_date,last_date,mean_date,activity_type,code_module,code_presentation,strength_log,engagement_score,rating
28400,AAA_2013J_546614,324,80,-10,239,100.875,homepage,AAA,2013J,5.783825182329737,6.882437470997847,3.485
28400,AAA_2013J_546644,18,5,204,224,210.8,forumng,AAA,2013J,2.9444389791664403,3.392378846473454,2.043
28400,AAA_2013J_546656,7,4,204,224,210.75,forumng,AAA,2013J,2.079441541679836,2.4818010197883607,1.667
28400,AAA_2013J_546649,8,4,181,224,205.0,forumng,AAA,2013J,2.19722457733622,2.5995840554447445,1.716
28400,AAA_2013J_546654,86,38,0,224,101.13157894736842,forumng,AAA,2013J,4.465908118654584,5.381798530186996,2.865
28400,AAA_2013J_546705,11,2,212,212,212.0,oucontent,AAA,2013J,2.4849066497880004,2.759559721955028,1.782
28400,AAA_2013J_546707,16,4,211,212,211.5,oucontent,AAA,2013J,2.833213344056216,3.235572822164741,1.979
28400,AAA_2013J_546711,10,4,211,212,211.5,oucontent,AAA,2013J,2.3978952727983707,2.800254750906896,1.799
28400,AAA_2013J_546966,5,2,211,212,211.5,resource,AAA,2013J,1.791759469228055,2.0664125413950822,1.496
28400,AAA_2013J_546879,21,9,-10,212,63.44444444444444,subpage,AAA,2013J,3.091042453358316,3.666688726606828,2.157
